seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,0.0001,badnet,"(16, 16)",badnet,0.96,0.96,0.25,0.896,-9.406230251780655e-05,9.654614045503361e-05,7.240960534127521,2.0394227649487315,0.3595154375007434,4.353492783481668
10,-1,0.0001,badnet,"(16, 16)",badnet,0.96,0.96,0.158,0.8813333333333333,-9.794038883865316e-05,9.937341757611605e-05,7.453006318208703,2.0717868667231576,0.42945277670529686,4.238972134818671
11,-1,0.0001,badnet,"(16, 16)",badnet,0.96,0.964,0.182,0.8906666666666667,-0.00010308305149120837,0.00010489267836124356,7.866950877093267,2.088475820478813,0.40964402474651035,4.6036453405807976
100,-1,0.0001,badnet,"(16, 16)",badnet,0.96,0.96,0.1,0.8793333333333333,-0.00010085908470664036,0.00010294689924769497,7.721017443577122,2.074673399859859,0.35528908512822044,4.158560022469017
101,-1,0.0001,badnet,"(16, 16)",badnet,0.96,0.96,0.308,0.8993333333333333,-0.0001045618582915073,0.0001060226977109531,7.951702328321482,2.2053885591257165,0.3933753062140233,4.255307849793365
1,-1,0.00046415888336127773,badnet,"(16, 16)",badnet,0.972,0.972,0.658,0.9486666666666667,-0.0006332676145599544,0.0006535627237586779,49.01720428190084,2.8270021844669446,0.1771312211209533,6.902622247243824
10,-1,0.00046415888336127773,badnet,"(16, 16)",badnet,0.972,0.974,0.544,0.9333333333333333,-0.0006476121440978161,0.0006563042531745347,49.222818988090104,2.881341725409441,0.1812423711843537,6.794466628699936
11,-1,0.00046415888336127773,badnet,"(16, 16)",badnet,0.972,0.972,0.506,0.926,-0.0006867097942022055,0.0006984892968595886,52.38669726446915,2.8933408079955636,0.1665753476706231,7.363705436728427
100,-1,0.00046415888336127773,badnet,"(16, 16)",badnet,0.972,0.968,0.558,0.9426666666666667,-0.0006686115444041042,0.0006821759072421622,51.16319304316216,2.8879480210579715,0.150644368774175,6.708247292547549
101,-1,0.00046415888336127773,badnet,"(16, 16)",badnet,0.972,0.972,0.764,0.9526666666666667,-0.0006782454421691406,0.000689709620144826,51.72822151086195,3.1102184279236336,0.17631482486659383,6.871782872310203
1,-1,0.002154434690031882,badnet,"(16, 16)",badnet,0.976,0.978,0.898,0.98,-0.0038000980183116517,0.003965093501786294,297.38201263397207,3.807727376560587,0.04539114980634528,10.036821415490062
