seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,0.0001,badnet,"(8, 8)",badnet,0.9,0.894,0.19,0.8553333333333333,-1.744645631852512e-08,1.8389794538798573e-08,0.0013792345904098929,2.5630604779956885,0.04403032895076533,6.36654921535669
10,-1,0.0001,badnet,"(8, 8)",badnet,0.9,0.896,0.182,0.8513333333333334,-1.7051130769703716e-08,1.8007598864038278e-08,0.0013505699148028709,2.6037717687890574,0.028284090665367072,6.500058548170385
11,-1,0.0001,badnet,"(8, 8)",badnet,0.9,0.884,0.314,0.8753333333333333,-1.6701614230666357e-08,1.786774231988535e-08,0.001340080673991401,2.4622148972331397,0.02224650743151945,6.44249096444404
100,-1,0.0001,badnet,"(8, 8)",badnet,0.9,0.896,0.202,0.856,-1.684672679453703e-08,1.789515050316826e-08,0.0013421362877376194,2.4695852351107144,0.049575628449334046,6.244345411352889
101,-1,0.0001,badnet,"(8, 8)",badnet,0.9,0.89,0.2,0.8626666666666667,-1.793132579893137e-08,1.881943690457515e-08,0.0014114577678431362,2.4306948073021966,0.037569712786142385,6.527370564997223
1,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.91,0.904,0.462,0.928,-2.1905320924016948e-07,3.016672716084313e-07,0.022625045370632348,2.797586464720321,0.0013018195226118289,7.325303653413785
10,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.91,0.902,0.484,0.9293333333333333,-2.0624778368073964e-07,3.016971101267974e-07,0.022627283259509804,2.82906214092987,0.00028090021102221484,8.038921791901164
11,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.91,0.904,0.61,0.9473333333333334,-2.3120720940018162e-07,3.1727705981146595e-07,0.023795779485859946,2.6515840595132105,0.0006458430144842136,8.363155591145137
100,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.91,0.896,0.496,0.932,-2.061148493763965e-07,2.887589410708899e-07,0.021656920580316742,2.6598033099955165,0.0007431154133077858,7.998644871371467
101,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.91,0.902,0.396,0.938,-2.670314006228321e-07,3.278237361390402e-07,0.024586780210428018,2.615127291421786,2.1433039772874782e-05,7.772027442712113
1,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.91,0.896,0.672,0.986,-3.511171958718045e-06,7.477799948775147e-06,0.560834996158136,2.9388408344805432,9.588186479192995e-07,9.341698444636393
10,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.91,0.896,0.738,0.9826666666666667,-3.3788963008115402e-06,7.501246400976946e-06,0.5625934800732709,2.9798367774803474,0.0021352541198262514,9.878360899354972
11,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.91,0.89,0.77,0.9873333333333333,-4.064960699271182e-06,7.544370475185487e-06,0.5658277856389116,2.733398475978026,0.001890080039256156,10.741687398221822
100,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.91,0.878,0.696,0.9826666666666667,-2.556269637185772e-06,7.163864969036965e-06,0.5372898726777724,2.747828414030566,1.5870979037732862e-06,9.549991034678852
101,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.91,0.9,0.628,0.9846666666666667,-4.931155881198371e-06,7.663196461286339e-06,0.5747397345964754,2.7129840299781653,0.00014345593772037567,9.175603241952857
1,-1,0.01,badnet,"(8, 8)",badnet,0.89,0.864,0.726,0.9993333333333333,-9.89648421702793e-05,0.00022507428280548608,16.880571210411457,3.087981829579653,6.693306866639065e-06,11.174350458901841
10,-1,0.01,badnet,"(8, 8)",badnet,0.89,0.86,0.776,1.0,-0.00010124101057731587,0.00023580001788844196,17.685001341633146,3.1865679298030227,0.0006741023196834832,13.4161107788886
11,-1,0.01,badnet,"(8, 8)",badnet,0.89,0.878,0.784,1.0,-0.00011059906663424593,0.0002204176377780129,16.531322833350966,2.7933836139815593,0.0001266256589175742,13.248934150585955
100,-1,0.01,badnet,"(8, 8)",badnet,0.89,0.866,0.762,0.998,-5.0970095225741926e-05,0.00021108719924849283,15.831539943636962,2.8159513504114626,5.770501213665438e-07,10.770959234514345
101,-1,0.01,badnet,"(8, 8)",badnet,0.89,0.86,0.676,0.9993333333333333,-0.00012719991059683336,0.00022236724176517971,16.67754313238848,2.7764521429383167,2.1842721813653916e-06,10.770830314345272
1,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.862,0.814,0.716,1.0,-0.00345347016809407,0.006744204740050962,505.8153555038221,3.2819809047816175,0.002070216750050937,14.470866716513678
10,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.862,0.814,0.756,1.0,-0.0037344868666836866,0.007464685503205357,559.8514127404018,3.508309082955169,1.2378162794077702e-06,18.795819593165376
11,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.862,0.838,0.754,1.0,-0.0038735454798029135,0.006774850794499216,508.1138095874412,2.8350598826653473,0.0002503960872165106,15.525405423679167
100,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.862,0.814,0.758,1.0,-0.0016368619792635401,0.006042164637393932,453.1623478045449,2.8976572468992243,0.0034299993370190598,14.202248275056782
101,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.862,0.828,0.684,1.0,-0.0038977166739259587,0.006689096834198906,501.682262564918,2.7832061158619084,8.353887400873436e-05,14.806300445679618
1,-1,0.21544346900318823,badnet,"(8, 8)",badnet,0.806,0.774,0.672,1.0,-0.10574383498327905,0.1821837720424133,13663.782903180996,3.437149664629831,1.0150406881852944e-05,20.853826597701467
10,-1,0.21544346900318823,badnet,"(8, 8)",badnet,0.806,0.786,0.71,1.0,-0.120061302129468,0.2113734597842921,15853.009483821907,3.8926973606890307,2.6570265672845967e-07,24.760487066142172
11,-1,0.21544346900318823,badnet,"(8, 8)",badnet,0.806,0.806,0.696,1.0,-0.12387346616444603,0.18985523878007382,14239.142908505537,2.9145738130288232,7.527914507662188e-05,18.31207339575518
100,-1,0.21544346900318823,badnet,"(8, 8)",badnet,0.806,0.77,0.738,1.0,-0.05506880620927066,0.16398747566692143,12299.060675019107,3.0514318664769737,0.00012677098022618454,19.732015946432057
101,-1,0.21544346900318823,badnet,"(8, 8)",badnet,0.806,0.794,0.676,1.0,-0.11675208178010398,0.18409163210726853,13806.87240804514,2.8322839747029547,0.0012049383056482916,20.47039254995628
1,-1,1.0,badnet,"(8, 8)",badnet,0.776,0.764,0.67,1.0,-2.6328266693652145,4.333516184186734,325013.713814005,3.510230744708047,0.0006479200251658043,23.609041844079314
10,-1,1.0,badnet,"(8, 8)",badnet,0.776,0.758,0.688,1.0,-3.0824000804961806,5.16660903214004,387495.67741050303,4.1292066033361685,4.854917492637633e-08,28.473230746726692
11,-1,1.0,badnet,"(8, 8)",badnet,0.776,0.782,0.68,1.0,-3.171033041969371,4.601059376841686,345079.45326312643,2.9890890816132827,0.0006525576335551173,19.509985513166765
100,-1,1.0,badnet,"(8, 8)",badnet,0.776,0.764,0.724,1.0,-1.471948666417754,3.9633081203800278,297248.1090285021,3.1720507607236614,0.0010148480655621929,23.461237754731826
101,-1,1.0,badnet,"(8, 8)",badnet,0.776,0.782,0.676,1.0,-2.9477569687211775,4.43401731323255,332551.29849244124,2.894145480229546,1.03027722808417e-05,23.048964472756314
1,-1,4.641588833612772,badnet,"(8, 8)",badnet,0.772,0.758,0.668,1.0,-59.01146852585026,96.04626197573614,7203469.648180211,3.531876899612651,1.8599595509066883e-05,24.341600881178024
10,-1,4.641588833612772,badnet,"(8, 8)",badnet,0.772,0.756,0.684,1.0,-69.78249358469945,115.44627046028462,8658470.284521347,4.205833747174973,7.712432389935307e-06,29.540292836027238
11,-1,4.641588833612772,badnet,"(8, 8)",badnet,0.772,0.784,0.674,1.0,-71.70684387004214,102.46162981723744,7684622.236292808,3.0154566095755473,4.883269100291762e-07,19.84663824635795
100,-1,4.641588833612772,badnet,"(8, 8)",badnet,0.772,0.764,0.722,1.0,-33.7331636373281,88.25735846142817,6619301.884607113,3.2137254120505103,0.00012705237562600518,24.681804546281544
101,-1,4.641588833612772,badnet,"(8, 8)",badnet,0.772,0.776,0.666,1.0,-66.47570624033243,98.68095561948633,7401071.671461474,2.9176280358211266,0.0001969070074918196,23.788724232884686
1,-1,21.54434690031882,badnet,"(8, 8)",badnet,0.77,0.758,0.666,1.0,-1282.9582629839654,2082.828719665826,156212153.97493696,3.5369667810384984,2.5085727314675926e-06,24.50760122772034
10,-1,21.54434690031882,badnet,"(8, 8)",badnet,0.77,0.75,0.682,1.0,-1520.7813428150607,2508.5054217117195,188137906.62837896,4.224260531991229,5.685606606942001e-06,29.787729060670053
11,-1,21.54434690031882,badnet,"(8, 8)",badnet,0.77,0.782,0.674,1.0,-1562.2725869234603,2224.3871767579863,166829038.25684896,3.0218964416928964,1.833949443375641e-05,19.92429804340795
100,-1,21.54434690031882,badnet,"(8, 8)",badnet,0.77,0.762,0.718,1.0,-737.252230758237,1916.1430141096234,143710726.05822176,3.223899086087785,9.778074820180963e-05,24.976078479339705
101,-1,21.54434690031882,badnet,"(8, 8)",badnet,0.77,0.776,0.666,1.0,-1447.4574539750379,2142.1980484099877,160664853.63074908,2.9234750615202576,4.2049654569105356e-05,23.961169605752684
1,-1,100.0,badnet,"(8, 8)",badnet,0.77,0.758,0.666,1.0,-27695.39945851061,44937.50737773026,3370313053.3297696,3.5380856244845265,8.22294670896401e-06,24.543766217018245
10,-1,100.0,badnet,"(8, 8)",badnet,0.77,0.75,0.682,1.0,-32846.76307133401,54145.08481322885,4060881360.992164,4.228331474254677,1.1722291013281744e-06,29.841928295094224
11,-1,100.0,badnet,"(8, 8)",badnet,0.77,0.78,0.674,1.0,-33740.76200849269,48003.090210457754,3600231765.7843313,3.023323497722162,3.900866065481501e-06,19.941286648601544
100,-1,100.0,badnet,"(8, 8)",badnet,0.77,0.762,0.716,1.0,-15933.581104506293,41351.70959410516,3101378219.557887,3.226154244302889,5.797199347643196e-05,25.04112974730787
101,-1,100.0,badnet,"(8, 8)",badnet,0.77,0.776,0.666,1.0,-31257.14543239598,46228.95743399431,3467171807.549573,2.92477660717672,8.050209142752274e-06,23.999003460760363
