seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,0.0001,0.1,badnet,"(8, 8)",badnet,0.948,0.944,0.084,0.8513333333333334,-0.001096399479437419,0.0514850828101801,3861.381210763507,1.6823164988064907,0.09831827406259896,2.605327424470792
10,0.0001,0.1,badnet,"(8, 8)",badnet,0.948,0.934,0.084,0.8573333333333333,-0.003547884897215537,0.015203297099900847,1140.2472824925635,1.7236400759004318,0.12450371239821134,2.631181520545578
11,0.0001,0.1,badnet,"(8, 8)",badnet,0.948,0.936,0.09,0.8446666666666667,-0.0024675074384654674,0.007823142391688437,586.7356793766328,1.7053772399802374,0.11465785578702437,2.6336155819261284
100,0.0001,0.1,badnet,"(8, 8)",badnet,0.948,0.934,0.104,0.852,-0.004098952660955579,0.014611268193370087,1095.8451145027566,1.6957382516419235,0.11760432446586411,2.603814462987308
101,0.0001,0.1,badnet,"(8, 8)",badnet,0.948,0.938,0.1,0.846,-0.0013428596006841457,0.03264740152425402,2448.555114319052,1.6886448522985245,0.11742335905700363,2.632874635494434
1,0.0001,0.21544346900318834,badnet,"(8, 8)",badnet,0.948,0.946,0.074,0.8533333333333334,-0.02660607557987448,0.13706002625435848,10279.501969076886,1.8407473521858269,0.0022904229823647038,2.9626341233443014
10,0.0001,0.21544346900318834,badnet,"(8, 8)",badnet,0.948,0.936,0.086,0.8626666666666667,-0.014907993338877665,0.03722389951118494,2791.7924633388707,1.8802642862621728,0.0628241172524795,3.00597356396978
11,0.0001,0.21544346900318834,badnet,"(8, 8)",badnet,0.948,0.944,0.088,0.8473333333333334,-0.016633946094626186,0.1629283693863571,12219.627703976783,1.8757105247165677,0.029028945086035707,3.0375262298112187
100,0.0001,0.21544346900318834,badnet,"(8, 8)",badnet,0.948,0.938,0.112,0.8593333333333333,-0.02052563680253507,0.14166946936440855,10625.210202330642,1.8631866766298366,0.05553814534406398,2.9884111054772786
101,0.0001,0.21544346900318834,badnet,"(8, 8)",badnet,0.948,0.944,0.112,0.852,-0.015285337617535175,0.03611668945788752,2708.751709341564,1.8480385800617383,0.051136383712034106,3.019140092685278
