seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,0.0001,badnet,"(16, 16)",badnet,0.974,0.968,0.484,0.9246666666666666,-1.6619137701524277e-05,2.2730747024128707e-05,1.704806026809653,1.7551642946638981,0.0,3.166181820632551
10,-1,0.0001,badnet,"(16, 16)",badnet,0.974,0.976,0.51,0.9346666666666666,-2.0113354709630268e-05,0.00012517491167157545,9.388118375368158,1.7981123353566977,0.0,3.1539892860454586
11,-1,0.0001,badnet,"(16, 16)",badnet,0.974,0.974,0.472,0.928,-2.08248473419464e-05,3.1532373476658456e-05,2.3649280107493844,1.7919597466878172,0.0,3.273201704114958
100,-1,0.0001,badnet,"(16, 16)",badnet,0.974,0.972,0.508,0.9346666666666666,-1.2734549088809165e-05,7.829496573253999e-05,5.872122429940499,1.7817770024933937,0.0,3.12976854505243
101,-1,0.0001,badnet,"(16, 16)",badnet,0.974,0.972,0.538,0.9373333333333334,-2.3332056913027096e-05,8.466501638418519e-05,6.349876228813889,1.8693793731155428,0.0,3.1309819599037647
1,-1,0.00046415888336127773,badnet,"(16, 16)",badnet,0.976,0.974,0.934,0.9793333333333333,-0.00031537026931105944,0.00046065935581734595,34.54945168630095,1.9616635940873253,0.0,3.744286741359978
10,-1,0.00046415888336127773,badnet,"(16, 16)",badnet,0.976,0.978,0.918,0.9806666666666667,-0.0002656997604736595,0.0005483431292453501,41.125734693401256,2.0046311960351875,0.0,3.786485362625009
11,-1,0.00046415888336127773,badnet,"(16, 16)",badnet,0.976,0.976,0.966,0.9826666666666667,-0.00045108683205491283,0.0013161352081420125,98.71014061065094,1.9876841718674987,0.0,3.900588172409082
100,-1,0.00046415888336127773,badnet,"(16, 16)",badnet,0.976,0.974,0.94,0.9813333333333333,-0.0003686796409618286,0.0013956675198078434,104.67506398558825,2.005533142142637,0.0,3.8584116760119236
101,-1,0.00046415888336127773,badnet,"(16, 16)",badnet,0.976,0.972,0.98,0.982,-0.0004620215248307181,0.0005883849190694045,44.128868930205336,2.146046334288682,0.0,3.9913414283733264
1,-1,0.002154434690031882,badnet,"(16, 16)",badnet,0.972,0.976,0.98,0.9946666666666667,-0.010253838247441208,0.0159776391444505,1198.3229358337874,2.1939952792135666,0.0,4.409025008798647
10,-1,0.002154434690031882,badnet,"(16, 16)",badnet,0.972,0.972,0.968,0.994,-0.010726575226293457,0.01603435020933682,1202.5762657002615,2.239242781564004,0.0,4.628687717471947
11,-1,0.002154434690031882,badnet,"(16, 16)",badnet,0.972,0.968,0.99,0.994,-0.008840856662004523,0.04229219473126273,3171.9146048447046,2.1946714282910116,0.0,4.7353676367975694
100,-1,0.002154434690031882,badnet,"(16, 16)",badnet,0.972,0.966,0.984,0.994,-0.01019061871962096,0.02784886543792622,2088.6649078444666,2.2776334022144065,0.0,4.823844298942346
101,-1,0.002154434690031882,badnet,"(16, 16)",badnet,0.972,0.97,0.988,0.994,-0.010960144099253721,0.04245295031788537,3183.9712738414028,2.3904042439140705,0.0,4.778414329808574
1,-1,0.01,badnet,"(16, 16)",badnet,0.97,0.96,0.972,0.9986666666666667,-0.06016224935992445,0.2115546223216168,15866.59667412126,2.1610422039749047,0.0,4.538998804924017
10,-1,0.01,badnet,"(16, 16)",badnet,0.97,0.964,0.968,0.9986666666666667,-0.0735350390626569,0.11660090123745778,8745.067592809333,2.2868421644185593,0.0,5.041640435780759
11,-1,0.01,badnet,"(16, 16)",badnet,0.97,0.97,0.992,0.9986666666666667,-0.07460022180126745,0.12999057164021482,9749.292873016111,2.2499797453957116,0.0,5.137167871389456
100,-1,0.01,badnet,"(16, 16)",badnet,0.97,0.972,0.988,0.9993333333333333,-0.05390210061728306,0.11990166520102281,8992.624890076711,2.2764863623342357,0.0,5.201485206210933
101,-1,0.01,badnet,"(16, 16)",badnet,0.97,0.964,0.974,0.9986666666666667,-0.07553991759964235,0.20654528885956985,15490.896664467738,2.384479052826777,0.0,4.961130517686431
1,-1,0.046415888336127774,badnet,"(16, 16)",badnet,0.964,0.958,0.97,1.0,-0.26544793930180244,2.3366909744821496,175251.82308616122,2.1677414102408292,0.0,4.7830842262592554
10,-1,0.046415888336127774,badnet,"(16, 16)",badnet,0.964,0.962,0.97,1.0,-0.29451971449435854,2.422098929124178,181657.41968431335,2.3489271047178524,0.0,5.357207810795203
11,-1,0.046415888336127774,badnet,"(16, 16)",badnet,0.964,0.964,0.988,1.0,-0.24997971552107007,2.3303315527252964,174774.86645439724,2.300337463299263,0.0,5.520386200392622
100,-1,0.046415888336127774,badnet,"(16, 16)",badnet,0.964,0.968,0.982,1.0,-0.24936905464202005,2.4920247181496467,186901.8538612235,2.309265007898994,0.0,5.369625381825009
101,-1,0.046415888336127774,badnet,"(16, 16)",badnet,0.964,0.956,0.976,1.0,-0.36695472778369403,2.4183523329822116,181376.42497366588,2.4546193696146257,0.0,5.348893957327946
1,-1,0.21544346900318823,badnet,"(16, 16)",badnet,0.964,0.958,0.97,1.0,-3.849011177811007,50.32074739484636,3774056.0546134766,2.1677414102408292,0.0,4.7830842262592554
10,-1,0.21544346900318823,badnet,"(16, 16)",badnet,0.964,0.962,0.97,1.0,-4.187246513975886,51.897790755755835,3892334.3066816875,2.3489271047178524,0.0,5.357207810795203
11,-1,0.21544346900318823,badnet,"(16, 16)",badnet,0.964,0.964,0.988,1.0,-3.3143197415237178,50.27847951198166,3770885.963398624,2.300337463299263,0.0,5.520386200392622
100,-1,0.21544346900318823,badnet,"(16, 16)",badnet,0.964,0.968,0.982,1.0,-3.295664227152141,53.699041785318116,4027428.133898859,2.309265007898994,0.0,5.369625381825009
101,-1,0.21544346900318823,badnet,"(16, 16)",badnet,0.964,0.956,0.976,1.0,-5.583087704315778,51.819877798567056,3886490.834892529,2.4546193696146257,0.0,5.348893957327946
1,-1,1.0,badnet,"(16, 16)",badnet,0.964,0.958,0.97,1.0,-74.24516541116341,1084.0267599166398,81302006.99374798,2.1677414102408292,0.0,4.7830842262592554
