seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,1e-05,invisible,"(224, 224)",invisible,0.992,0.99,0.08,0.9033333333333333,-1.0556517355134018e-05,1.0583605283172784e-05,0.7937703962379589,2.0719049459415837,0.7371683162756041,4.583410796260626
10,-1,1e-05,invisible,"(224, 224)",invisible,0.992,0.99,0.094,0.904,-1.0724930988854337e-05,1.0757451689957046e-05,0.8068088767467785,2.077963018114168,0.7285366031363784,4.655321266476186
11,-1,1e-05,invisible,"(224, 224)",invisible,0.992,0.992,0.076,0.9026666666666666,-1.065786544433671e-05,1.069471217312943e-05,0.8021034129847073,2.072401773912886,0.736664440417974,4.556812931300854
100,-1,1e-05,invisible,"(224, 224)",invisible,0.992,0.988,0.064,0.9073333333333333,-1.0537700409470666e-05,1.0563295507566539e-05,0.7922471630674904,2.0729085749232112,0.7366526149569463,4.5936138960696375
101,-1,1e-05,invisible,"(224, 224)",invisible,0.992,0.99,0.06,0.904,-1.0662973662661177e-05,1.0694500936571615e-05,0.8020875702428711,2.072309640234636,0.7414480260203524,4.6169978068834405
1,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.992,0.99,0.49,0.9606666666666667,-0.00011388104034626056,0.00011425876752317912,8.569407564238434,3.315806173183188,0.5157085153536932,7.917226632939419
10,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.992,0.992,0.482,0.95,-0.000119363964889505,0.00011984179951039228,8.988134963279421,3.327460546815502,0.527739064168549,8.030603903040117
11,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.992,0.994,0.498,0.9573333333333334,-0.00011447741793100214,0.00011475460304390841,8.60659522829313,3.3157957883082325,0.5195026466513183,7.906383351651415
100,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.992,0.994,0.514,0.9593333333333334,-0.00011461071858868212,0.00011492610679879431,8.619458009909573,3.3205721422811605,0.526064790011667,7.950185586287209
101,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.992,0.99,0.506,0.9593333333333334,-0.00011485055527601813,0.00011515195719239403,8.636396789429552,3.3153975437125935,0.509441388024789,7.973141067989576
1,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.994,0.992,0.71,0.988,-0.0010322643663922004,0.00103798700073529,77.84902505514675,5.066789202843973,0.28890821608719813,12.577276187250606
10,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.994,0.992,0.766,0.98,-0.001105736677543674,0.0011108946368165989,83.31709776124491,5.079979522921234,0.3022464951929368,12.68350914187768
11,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.994,0.994,0.722,0.99,-0.0010249839726255373,0.0010302714469938297,77.27035852453723,5.078678310281364,0.2979606459612288,12.548615193940451
100,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.994,0.992,0.746,0.988,-0.0010613284994682513,0.0010665103474526466,79.9882760589485,5.090503103720657,0.30532161778774036,12.717432044418697
101,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.994,0.992,0.732,0.986,-0.0010333536410318317,0.001037760185651131,77.83201392383482,5.07670544841384,0.2812962144079245,12.522329092020174
1,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.992,0.784,1.0,-0.010393194226667018,0.010549788014789247,791.2341011091935,7.319252269668068,0.11975437295646098,18.336297915850793
10,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.992,0.844,0.9986666666666667,-0.011090965161408143,0.011195769209675833,839.6826907256875,7.334929645554874,0.12822323853383605,18.488472903271443
11,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.994,0.804,1.0,-0.010210593290455615,0.010362052507729477,777.1539380797108,7.376286331566122,0.12579136217145284,18.338460459723176
