seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,1e-05,invisible,"(224, 224)",invisible,0.986,0.984,0.362,0.9326666666666666,-1.8094784992454535e-10,1.8377216894576382e-10,1.3782912670932286e-05,2.5535695272919687,0.4720462420378241,6.075504659993283
10,-1,1e-05,invisible,"(224, 224)",invisible,0.986,0.984,0.366,0.9406666666666667,-1.8838116667389098e-10,1.9059041077243087e-10,1.4294280807932316e-05,2.549298909629835,0.4910358473208605,6.128442928806869
11,-1,1e-05,invisible,"(224, 224)",invisible,0.986,0.986,0.35,0.936,-1.7984569580577288e-10,1.836079432047268e-10,1.3770595740354509e-05,2.553901282845086,0.4790382062711357,6.095816717877249
100,-1,1e-05,invisible,"(224, 224)",invisible,0.986,0.984,0.33,0.9386666666666666,-1.955891857565751e-10,1.9897090460806405e-10,1.4922817845604804e-05,2.5498700151434734,0.4480052541650036,6.014094747579004
101,-1,1e-05,invisible,"(224, 224)",invisible,0.986,0.98,0.358,0.9386666666666666,-1.8536230435811635e-10,1.8780183231245598e-10,1.40851374234342e-05,2.5409041384121354,0.4938416814619842,6.096787758702722
1,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.986,0.982,0.706,0.988,-3.793536073715217e-09,4.502974536426779e-09,0.00033772309023200845,3.0243389534779377,0.29662252532507344,6.733249726479278
10,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.986,0.984,0.678,0.9893333333333333,-4.2493462564197885e-09,4.797729808397131e-09,0.0003598297356297848,3.0097106791103916,0.3132387672569018,6.732741554433174
11,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.986,0.984,0.692,0.9846666666666667,-4.0975348348786805e-09,4.627962512460665e-09,0.00034709718843454985,3.0239333849844883,0.2720596952682943,6.650208965955614
100,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.986,0.986,0.652,0.9886666666666667,-4.33500640702025e-09,4.8209038355687595e-09,0.000361567787667657,3.0083241201027513,0.2814798411009796,6.52880585932783
101,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.986,0.98,0.68,0.9826666666666667,-3.8972016114283065e-09,4.525768924802994e-09,0.00033943266936022455,3.0040204170364877,0.30552122793781156,6.497648833949028
1,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.988,0.978,0.778,0.9993333333333333,-1.0517980097543064e-07,1.8487650833638758e-07,0.013865738125229067,3.303044350457376,0.2943094931797094,8.467723487211046
10,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.988,0.978,0.732,0.9993333333333333,-1.254373849490418e-07,1.926284501118814e-07,0.014447133758391104,3.2827472033762453,0.3634125990476702,8.157494832995397
11,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.988,0.978,0.756,0.9986666666666667,-1.2531996160289418e-07,1.8456858907666205e-07,0.013842644180749654,3.307965748686512,0.2503576015004908,8.195524387673789
100,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.988,0.988,0.742,1.0,-1.1822678918345824e-07,1.8364761186138322e-07,0.013773570889603742,3.264698762879485,0.3212684598287993,7.620586340858799
