seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,1e-05,0.1,invisible,"(224, 224)",invisible,0.982,0.972,0.088,0.8886666666666667,0.0005900473553157334,0.037140240195266,2785.51801464495,1.5833109036724873,0.6446885517380461,2.5891163057603785
10,1e-05,0.1,invisible,"(224, 224)",invisible,0.982,0.988,0.042,0.8886666666666667,-0.0022540871479434237,0.016669493964015958,1250.212047301197,1.5888721517232054,0.6784151036940342,2.6152350825377413
11,1e-05,0.1,invisible,"(224, 224)",invisible,0.982,0.972,0.092,0.8933333333333333,0.0002514239760167188,0.01771436196581422,1328.5771474360665,1.5832108183748097,0.6337761618283696,2.589340720020849
100,1e-05,0.1,invisible,"(224, 224)",invisible,0.982,0.986,0.046,0.89,0.0002140951469561582,0.01881216554347954,1410.9124157609656,1.5905941294692962,0.6702052406019956,2.621780296182446
101,1e-05,0.1,invisible,"(224, 224)",invisible,0.982,0.976,0.086,0.8913333333333333,0.0008586875180825351,0.03608315140628278,2706.2363554712083,1.579462365010587,0.6503811974343234,2.577805762943856
1,1e-05,0.2782559402207124,invisible,"(224, 224)",invisible,0.994,0.988,0.114,0.904,-0.024855396539291107,0.135262460710356,10144.6845532767,1.7651139742171957,0.6488221169555436,3.0504915530704264
10,1e-05,0.2782559402207124,invisible,"(224, 224)",invisible,0.994,0.994,0.104,0.906,0.009202529869678585,0.5662291976087671,42467.189820657535,1.7662096816358221,0.6666270825830349,3.056034572691921
11,1e-05,0.2782559402207124,invisible,"(224, 224)",invisible,0.994,0.986,0.108,0.9086666666666666,-0.018694749475211197,0.14187104396355835,10640.328297266877,1.7710282542970477,0.6524981169112869,3.082026111947174
100,1e-05,0.2782559402207124,invisible,"(224, 224)",invisible,0.994,0.992,0.122,0.9066666666666666,0.005037639457782891,0.4243929973572132,31829.47480179099,1.7710536913425794,0.6696571544050631,3.0801354153130127
101,1e-05,0.2782559402207124,invisible,"(224, 224)",invisible,0.994,0.99,0.094,0.8986666666666666,0.0005806090471496387,0.43202295087671966,32401.721315753974,1.762890841608371,0.6730369801324969,3.0666428132494596
