seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,1e-05,0.1,invisible,"(224, 224)",invisible,0.988,0.984,0.014,0.8866666666666667,-0.0026512293968842036,0.05457266206314137,4092.9496547356025,1.8966873715447718,0.7933082870414078,3.1999730584490793
10,1e-05,0.1,invisible,"(224, 224)",invisible,0.988,0.984,0.014,0.8893333333333333,-0.0017996702571017728,0.09198656032953398,6898.9920247150485,1.8978737021892729,0.7909692208275854,3.2107323077916923
11,1e-05,0.1,invisible,"(224, 224)",invisible,0.988,0.982,0.014,0.888,-0.002707343333081035,0.05564249128345245,4173.186846258934,1.9002273135900958,0.7984689318990212,3.2213352224670038
100,1e-05,0.1,invisible,"(224, 224)",invisible,0.988,0.982,0.016,0.886,-0.0017119837962081537,0.0552096718236043,4140.725386770322,1.903136604537455,0.7912802043004509,3.232194233678639
101,1e-05,0.1,invisible,"(224, 224)",invisible,0.988,0.976,0.022,0.8866666666666667,-0.001234889687635087,0.05464627254754548,4098.470441065911,1.8950826751645036,0.7733232693043408,3.201455685855614
1,1e-05,0.2782559402207124,invisible,"(224, 224)",invisible,0.99,0.99,0.008,0.898,-0.019647767470980963,0.2986486090788841,22398.645680916306,2.1653101947218363,0.9239683251889931,3.8377367362168253
10,1e-05,0.2782559402207124,invisible,"(224, 224)",invisible,0.99,0.99,0.012,0.8973333333333333,-0.024363011157776483,1.1487243009515362,86154.32257136522,2.165906602124293,0.9132872272775956,3.8540884927183505
11,1e-05,0.2782559402207124,invisible,"(224, 224)",invisible,0.99,0.99,0.01,0.8973333333333333,-0.009300820288055515,0.44025254790551893,33018.94109291392,2.1646812871851253,0.9261591941362644,3.8540935365156037
100,1e-05,0.2782559402207124,invisible,"(224, 224)",invisible,0.99,0.99,0.008,0.8953333333333333,-0.02188494761803216,0.5742130272407429,43065.97704305571,2.1641017158777367,0.9068063212129396,3.8555252522006866
101,1e-05,0.2782559402207124,invisible,"(224, 224)",invisible,0.99,0.99,0.01,0.8933333333333333,-0.020527965474084916,0.5843656794300363,43827.425957252715,2.161776306026154,0.8941665813173272,3.8481270744848897
1,1e-05,0.774263682681127,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.8993333333333333,-0.18038663318856185,4.451931997203004,333894.8997902253,2.4158779848333842,0.8854969470473786,4.417526233934932
10,1e-05,0.774263682681127,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9,-0.2553986491657482,4.499571745334745,337467.88090010587,2.4280869195696475,0.8741696671697909,4.492368785628414
11,1e-05,0.774263682681127,invisible,"(224, 224)",invisible,0.998,0.996,0.002,0.9,-0.19799509677006824,4.539566348378538,340467.47612839035,2.4162205736745537,0.8937834055632972,4.452557643398627
100,1e-05,0.774263682681127,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9,-0.26734996434714714,7.800830688849719,585062.3016637289,2.4255374809213963,0.8898775351179118,4.455809359414539
101,1e-05,0.774263682681127,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9,-0.20585570064763364,1.1310251269320823,84826.88451990618,2.4211025340344987,0.8759888091053513,4.471931593955507
1,1e-05,2.1544346900318834,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.8993333333333333,-1.8484999224139997,8.338950288773605,625421.2716580203,2.663055252270309,0.8036972915384023,5.131198484760681
10,1e-05,2.1544346900318834,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.8993333333333333,-1.9101789166310146,34.82104600970529,2611578.4507278968,2.6708857827868266,0.7544081575114385,5.217818130087053
11,1e-05,2.1544346900318834,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.8993333333333333,-1.626831013518538,26.42111231440455,1981583.4235803413,2.6659769448057924,0.8121131818944316,5.166935937087835
100,1e-05,2.1544346900318834,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9,-1.8725963388474605,43.3298343161518,3249737.5737113855,2.637112923157536,0.8017060472481995,5.0079081677994886
101,1e-05,2.1544346900318834,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9,-1.7091991027057032,8.304767950174522,622857.5962630892,2.6731841547975796,0.7641055642261001,5.202622046988358
1,1e-05,5.994842503189409,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9,-15.455204824324527,32.16914344870586,2412685.7586529395,2.875940090577765,0.7988174005196326,5.671433577181339
10,1e-05,5.994842503189409,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9006666666666666,-14.730813614619784,134.7201004067181,10104007.530503858,2.8622692927400255,0.6752782578103548,5.640600032273255
11,1e-05,5.994842503189409,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9006666666666666,-14.872889666683863,200.5723074029267,15042923.055219501,2.878205366780178,0.7735518400316349,5.676652862831498
100,1e-05,5.994842503189409,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9013333333333333,-14.787445252990242,32.08662688200471,2406497.016150353,2.8395211659989745,0.7257845849075408,5.471155792337469
101,1e-05,5.994842503189409,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9013333333333333,-15.526134027777752,265.88198618983864,19941148.9642379,2.8814085499979365,0.6951567964339916,5.6515769867679
1,1e-05,16.68100537200059,invisible,"(224, 224)",invisible,0.998,0.998,0.008,0.9126666666666666,-64.06801333796865,1018.562568357204,76392192.6267903,2.986940175457787,0.8694089380900354,6.064425064697229
10,1e-05,16.68100537200059,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.908,-63.29056067474118,1511.3557740369463,113351683.05277097,2.985104101549796,0.7896277447779478,6.073774484119697
