seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,1e-05,invisible,"(224, 224)",invisible,0.996,0.99,0.144,0.9153333333333333,-1.0639193526979424e-06,1.0780745713547229e-06,0.08085559285160421,1.9951892148423391,0.8449184189169555,3.634966638214649
10,-1,1e-05,invisible,"(224, 224)",invisible,0.996,0.994,0.16,0.9186666666666666,-1.2305847966135627e-06,1.380631530105785e-06,0.10354736475793389,1.9935533049304976,0.8479046975634204,3.618909250664967
11,-1,1e-05,invisible,"(224, 224)",invisible,0.996,0.994,0.182,0.9173333333333333,-1.4155409243859824e-06,1.4277157376426902e-06,0.10707868032320177,1.9906026225435405,0.8615111199048069,3.6000240638848116
100,-1,1e-05,invisible,"(224, 224)",invisible,0.996,0.996,0.126,0.912,-1.332509370577595e-06,1.4024918622653661e-06,0.10518688966990246,1.9856320829733598,0.8531843524177681,3.5747456946632976
101,-1,1e-05,invisible,"(224, 224)",invisible,0.996,0.99,0.282,0.9286666666666666,-1.0630487135201e-06,1.1481851959509824e-06,0.08611388969632368,1.9945396251672831,0.8795362071471076,3.6422769453507806
1,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.996,0.768,0.988,-5.7707842251761704e-05,5.7794126544490506e-05,4.334559490836788,2.3367783234156927,0.5844642494775987,4.566530621761466
10,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.756,0.9846666666666667,-4.874921373066203e-05,4.889179049242968e-05,3.666884286932226,2.353725948535647,0.5886054454271007,4.575146696748891
11,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.758,0.98,-4.898945293055244e-05,4.905539848063391e-05,3.6791548860475434,2.337862376549584,0.6383009517135898,4.5847003832876645
100,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.742,0.9873333333333333,-4.6525155772674523e-05,4.65743948820474e-05,3.493079616153555,2.325122361630707,0.5924342317297869,4.411861313589325
101,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.994,0.716,0.9773333333333334,-4.54006152130525e-05,4.5482934479986e-05,3.4112200859989503,2.3356229304754046,0.6679517920544062,4.598846008072487
1,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.994,0.886,0.9993333333333333,-0.0011257912423519377,0.0011891765164833905,89.18823873625428,2.5186605901324635,0.45135095022467153,5.228496425089897
10,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.996,0.872,1.0,-0.0011565863588973886,0.0012149220202788001,91.11915152091001,2.5453235017281273,0.39532958256309336,5.220257450628386
11,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.996,0.892,0.9973333333333333,-0.0011542628061817042,0.0011628976754182309,87.21732565636731,2.5283782204388485,0.549172277051683,5.218804985195311
100,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.998,0.882,0.9993333333333333,-0.0011295268782440838,0.0011401629023734458,85.51221767800844,2.4996959166305532,0.48467778869733535,4.833316156170492
101,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.996,0.89,0.9993333333333333,-0.0011306691903747639,0.0011415168728747221,85.61376546560416,2.494410567283274,0.5759671288619803,5.000287023690508
