seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,1e-05,invisible,"(224, 224)",invisible,0.998,0.996,0.004,0.898,-1.7196715048594214e-05,1.720232249009584e-05,1.290174186757188,2.6342332418966645,0.833191132167992,6.267537974081603
10,-1,1e-05,invisible,"(224, 224)",invisible,0.998,0.994,0.004,0.8986666666666666,-1.721508967405749e-05,1.72212600233602e-05,1.2915945017520152,2.6362357877098166,0.8284449874720068,6.277450383050575
11,-1,1e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.898,-1.732361738248054e-05,1.7330672578375103e-05,1.2998004433781327,2.637520479314737,0.8282250061787855,6.310238489460068
100,-1,1e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.8993333333333333,-1.7272857749225166e-05,1.7279419469147027e-05,1.2959564601860272,2.6338199629518093,0.8334277152132991,6.302856938291134
101,-1,1e-05,invisible,"(224, 224)",invisible,0.998,0.996,0.004,0.8973333333333333,-1.7287986310922565e-05,1.729351872849756e-05,1.297013904637317,2.6361710889265906,0.8329535529392558,6.279045345447312
1,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.996,0.002,0.8986666666666666,-0.00020017870541212527,0.00020024080299300417,15.018060224475313,4.484941801749521,0.7208844144207202,11.08031151998263
10,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.994,0.006,0.8986666666666666,-0.00020206511146874496,0.00020213447309421943,15.160085482066457,4.492116064314661,0.7043938633816677,11.105565378813035
11,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.8993333333333333,-0.00020158772952621784,0.00020168186785725676,15.126140089294257,4.490299730580144,0.7146318974578021,11.12771663509947
100,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.996,0.004,0.9006666666666666,-0.0001995367876393146,0.00019960081495479478,14.970061121609609,4.482613138598639,0.7222567737717014,11.132192916856926
101,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.996,0.004,0.898,-0.00020147464167054972,0.0002015445900339075,15.115844252543063,4.487648580643554,0.7179162338878925,11.10560570279875
1,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.996,0.004,0.9013333333333333,-0.0019500996150943546,0.0019506929275435818,146.30196956576864,6.957852031226219,0.5977405058833162,17.10117299021081
10,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.996,0.008,0.9006666666666666,-0.0019934618334075745,0.0019941640406492783,149.56230304869587,6.972254587640457,0.5569420686035529,17.140476920721245
