seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,1e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.8993333333333333,-2.1449915124336684e-10,2.164866647314826e-10,1.6236499854861195e-05,3.5796022892408246,0.7032542327238258,6.398199590878186
10,-1,1e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9,-2.1445466386009406e-10,2.1672192726991452e-10,1.625414454524359e-05,3.5804005427277374,0.6797831112184543,6.388552450714689
11,-1,1e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9026666666666666,-2.1741893953205133e-10,2.1879974289800573e-10,1.640998071735043e-05,3.5680467254714556,0.6966452000705231,6.334450472108933
100,-1,1e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9,-2.2037604436890938e-10,2.216421406154718e-10,1.6623160546160384e-05,3.564423686024247,0.699064968722166,6.320325081516965
101,-1,1e-05,invisible,"(224, 224)",invisible,0.998,0.996,0.002,0.9026666666666666,-2.2442540055767408e-10,2.2657789723629645e-10,1.6993342292722234e-05,3.56786499971914,0.6932959353586567,6.353718299406875
1,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.9006666666666666,-4.950614521241971e-09,5.90406454432487e-09,0.0004428048408243653,3.853421175043932,0.5393663557752102,5.6115233313381525
10,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.902,-4.69879889290238e-09,5.7736593013206376e-09,0.00043302444759904784,3.8570716095177957,0.506234816548929,5.745984772761757
11,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.904,-4.378498286574204e-09,5.7276361336846994e-09,0.00042957271002635246,3.850986880079411,0.5085860303622188,5.646677465987137
100,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.002,0.904,-4.351939151052764e-09,5.379011858607643e-09,0.00040342588939557326,3.8405755213273487,0.5120477421327662,5.651401002471173
101,-1,5.994842503189409e-05,invisible,"(224, 224)",invisible,0.998,0.998,0.004,0.9046666666666666,-4.675554325468905e-09,5.743143173114543e-09,0.0004307357379835907,3.845976201814191,0.4977040763209775,5.766101728934947
1,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.99,0.014,0.9466666666666667,-1.4322585413781175e-07,2.0558883823618365e-07,0.015419162867713774,3.971212861366492,0.5189206459690796,5.685386395241496
10,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.992,0.012,0.95,-1.3430407987999897e-07,2.1378418285775842e-07,0.016033813714331883,3.972216871072842,0.4686236289382246,5.839609088483976
11,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.996,0.006,0.9533333333333334,-1.2481755682636135e-07,2.1267509832581183e-07,0.015950632374435888,3.9804267784446714,0.4462112864218868,5.896876520490764
100,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.996,0.004,0.9526666666666667,-1.0893891310387359e-07,1.9371355801796255e-07,0.01452851685134719,3.9649997021962173,0.4767133536839174,5.874301894651813
101,-1,0.00035938136638046257,invisible,"(224, 224)",invisible,0.998,0.988,0.016,0.952,-1.2369653710386208e-07,2.0599241380541422e-07,0.015449431035406067,3.973747829853646,0.42811374545221786,5.744612164145161
1,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.952,0.068,0.9993333333333333,-5.020713518389015e-06,8.434878571425636e-06,0.6326158928569227,4.0307073299160034,0.4844203195690192,6.326330880768094
10,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.954,0.068,1.0,-4.7624399702788935e-06,8.747711834775385e-06,0.656078387608154,4.022559043746484,0.4166371586635844,6.672921541757094
11,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.972,0.054,0.998,-4.632738793740216e-06,8.922527630226638e-06,0.6691895722669978,4.041600649202184,0.40526085927472283,6.389927678020919
100,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.962,0.066,1.0,-3.506420808351378e-06,8.022408218261896e-06,0.6016806163696422,4.027380165004732,0.4469016091840297,6.362346114202946
101,-1,0.0021544346900318843,invisible,"(224, 224)",invisible,0.998,0.956,0.068,1.0,-4.426201042385754e-06,8.600053606861597e-06,0.6450040205146198,4.033958806039318,0.3435939329447294,6.289649734202515
1,-1,0.01291549665014884,invisible,"(224, 224)",invisible,0.998,0.904,0.13,1.0,-0.00018611376727106516,0.0003340449222990943,25.05336917243207,4.059978693343798,0.42811386667358586,7.074250019181377
10,-1,0.01291549665014884,invisible,"(224, 224)",invisible,0.998,0.9,0.132,1.0,-0.00017603367730651968,0.0003420576405238286,25.654323039287142,4.044264893376764,0.3528367469292962,7.580360096380181
11,-1,0.01291549665014884,invisible,"(224, 224)",invisible,0.998,0.928,0.118,1.0,-0.00017893863297632412,0.000348743609538525,26.155770715389377,4.063569534468692,0.38530100553400337,7.2446469400404325
100,-1,0.01291549665014884,invisible,"(224, 224)",invisible,0.998,0.918,0.108,1.0,-0.00011883543682288511,0.00031534000538113055,23.65050040358479,4.055149641133825,0.41449136480950927,7.032220108587486
101,-1,0.01291549665014884,invisible,"(224, 224)",invisible,0.998,0.904,0.128,1.0,-0.00016979090487256383,0.00033838898147210266,25.3791736104077,4.056243708721647,0.2631657300720672,7.171812162777495
1,-1,0.0774263682681127,invisible,"(224, 224)",invisible,0.998,0.88,0.156,1.0,-0.006797737197892249,0.012400728426394827,930.054631979612,4.06996257038439,0.406933345454304,7.279206939270037
10,-1,0.0774263682681127,invisible,"(224, 224)",invisible,0.998,0.884,0.158,1.0,-0.006397073569040042,0.012656758525362782,949.2568894022087,4.050520041922568,0.32815441683049457,7.8945796570344555
11,-1,0.0774263682681127,invisible,"(224, 224)",invisible,0.998,0.89,0.156,1.0,-0.0065968261327936225,0.012856631076001856,964.2473307001392,4.068692757037864,0.3812207176494413,7.601571042624717
100,-1,0.0774263682681127,invisible,"(224, 224)",invisible,0.998,0.906,0.15,1.0,-0.0041670730703208024,0.011669527083885245,875.2145312913934,4.063009432677509,0.4029220354684455,7.2369256230805785
101,-1,0.0774263682681127,invisible,"(224, 224)",invisible,0.998,0.878,0.15,1.0,-0.006261037230013509,0.01250246541848366,937.6849063862745,4.062027625037485,0.23658724663268058,7.484535640431124
1,-1,0.4641588833612782,invisible,"(224, 224)",invisible,0.998,0.872,0.158,1.0,-0.2451940257869671,0.44865917933269317,33649.43844995199,4.072075730346396,0.40265827109074753,7.315950459650033
10,-1,0.4641588833612782,invisible,"(224, 224)",invisible,0.998,0.874,0.16,1.0,-0.23044314689749604,0.4576446397805373,34323.3479835403,4.05175530495079,0.3229927060272341,7.95928768265066
11,-1,0.4641588833612782,invisible,"(224, 224)",invisible,0.998,0.886,0.158,1.0,-0.2382900174812143,0.46443957835368704,34832.96837652653,4.069615532699358,0.38063923473963573,7.679694204361351
100,-1,0.4641588833612782,invisible,"(224, 224)",invisible,0.998,0.9,0.15,1.0,-0.14895950079968445,0.42192292432447986,31644.21932433599,4.0645310975364435,0.40057093581605496,7.2768639000715885
101,-1,0.4641588833612782,invisible,"(224, 224)",invisible,0.998,0.876,0.154,1.0,-0.22622602325277902,0.451838917168077,33887.91878760578,4.0631577663703995,0.23144356128590296,7.547582832133331
1,-1,2.782559402207126,invisible,"(224, 224)",invisible,0.998,0.872,0.164,1.0,-8.817522014934205,16.142819022339708,1210711.4266754782,4.0724456232153505,0.4019200514763949,7.322126326579013
10,-1,2.782559402207126,invisible,"(224, 224)",invisible,0.998,0.874,0.166,1.0,-8.285128068829575,16.464406990771035,1234830.5243078277,4.051968500951857,0.32209338290609485,7.970539992524907
11,-1,2.782559402207126,invisible,"(224, 224)",invisible,0.998,0.886,0.158,1.0,-8.571235958196462,16.706071046460544,1252955.3284845408,4.069771373017509,0.3805482460897659,7.693457477611287
100,-1,2.782559402207126,invisible,"(224, 224)",invisible,0.998,0.9,0.15,1.0,-5.34831393720782,15.179089581001382,1138431.7185751037,4.064792200624194,0.4001641200785889,7.283727145841242
101,-1,2.782559402207126,invisible,"(224, 224)",invisible,0.998,0.876,0.158,1.0,-8.137783552026999,16.254038594861143,1219052.8946145857,4.063352767307169,0.23056380052789957,7.558488499444107
1,-1,16.68100537200059,invisible,"(224, 224)",invisible,0.998,0.872,0.164,1.0,-316.91986426268335,580.256686695766,43519251.502182454,4.072507841815738,0.40179618540968104,7.323157601537705
10,-1,16.68100537200059,invisible,"(224, 224)",invisible,0.998,0.874,0.166,1.0,-297.77276166324083,591.8059765904468,44385448.24428351,4.052004274938545,0.3219422419389331,7.972430506803764
11,-1,16.68100537200059,invisible,"(224, 224)",invisible,0.998,0.886,0.158,1.0,-308.07970615164356,600.4755005357748,45035662.54018311,4.069797420978973,0.38053325992156267,7.695775135516258
100,-1,16.68100537200059,invisible,"(224, 224)",invisible,0.998,0.9,0.15,1.0,-192.17810903278058,545.6045961346272,40920344.71009704,4.064835965780511,0.40009583558407713,7.2848778481703045
101,-1,16.68100537200059,invisible,"(224, 224)",invisible,0.998,0.876,0.158,1.0,-292.50296053741374,584.2352118512032,43817640.888840236,4.063385488801814,0.230416437122655,7.560319028125669
1,-1,100.0,invisible,"(224, 224)",invisible,0.998,0.872,0.164,1.0,-11389.715475788365,20854.023551338763,1564051766.3504071,4.072518235045267,0.4017755030472224,7.32332965741621
10,-1,100.0,invisible,"(224, 224)",invisible,0.998,0.874,0.166,1.0,-10701.511630224373,21269.027632102177,1595177072.4076633,4.05201024832355,0.3219169985142189,7.9727462434648775
11,-1,100.0,invisible,"(224, 224)",invisible,0.998,0.886,0.158,1.0,-11072.082464530413,21580.512391779757,1618538429.3834817,4.069801767488128,0.38053076553565796,7.696162358157749
100,-1,100.0,invisible,"(224, 224)",invisible,0.998,0.9,0.15,1.0,-6906.334470594946,19608.574882230914,1470643116.1673186,4.0648432721460175,0.40008443317957343,7.285069960712517
101,-1,100.0,invisible,"(224, 224)",invisible,0.998,0.876,0.158,1.0,-10512.288344724162,20996.894586658807,1574767093.9994106,4.063390952522343,0.23039183841913363,7.560624697273486
