seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,0.0001,badnet,"(3, 3)",badnet,0.98,0.98,0.024,0.8813333333333333,-3.1022527742049594e-05,3.161038757467172e-05,2.3707790681003793,1.2953626875815827,0.827393788112409,1.8061351246033974
10,-1,0.0001,badnet,"(3, 3)",badnet,0.98,0.98,0.022,0.8733333333333333,-3.158615143599415e-05,3.189181570165079e-05,2.391886177623809,1.2983534970025503,0.8194247424177213,1.8441797806962492
11,-1,0.0001,badnet,"(3, 3)",badnet,0.98,0.982,0.022,0.876,-3.1482425525395635e-05,3.1845307369303e-05,2.388398052697725,1.2980318162475157,0.8181442196507814,1.8438262449828502
100,-1,0.0001,badnet,"(3, 3)",badnet,0.98,0.982,0.022,0.8773333333333333,-3.11632074400507e-05,3.174997572293855e-05,2.3812481792203917,1.296359728847968,0.8245151823495798,1.8181144307643475
101,-1,0.0001,badnet,"(3, 3)",badnet,0.98,0.98,0.022,0.872,-3.146356406751842e-05,3.192002152231913e-05,2.3940016141739346,1.2976385816060365,0.8213040526566177,1.8240308076580807
1,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.982,0.978,0.022,0.8853333333333333,-0.0006771529933766683,0.00068126589791033,51.094942343274745,2.0650172079007088,0.6551688957074326,3.7242485678127175
10,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.982,0.984,0.018,0.884,-0.0006854960683594624,0.000687816874745372,51.5862656059029,2.066542048981911,0.657179444769482,3.7667762123171293
11,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.982,0.984,0.02,0.884,-0.0006826205388662144,0.0006853457586048544,51.400931895364074,2.066935990314925,0.6475433679060122,3.776908866485468
100,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.982,0.98,0.026,0.8826666666666667,-0.0006829752753046313,0.0006870513419454332,51.52885064590749,2.06733547468559,0.6484357472238377,3.75685053235357
101,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.982,0.978,0.022,0.884,-0.000686748489077073,0.0006904454916505247,51.783411873789355,2.067991909709054,0.6487912887544047,3.746992715531434
1,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.988,0.988,0.024,0.8926666666666667,-0.008684231443981574,0.008697376177688301,652.3032133266227,3.483277071220778,0.5643854883739896,7.00050405613168
10,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.988,0.992,0.02,0.888,-0.008662069252654888,0.008675781369868551,650.6836027401413,3.4762152936970248,0.5895965249006145,7.033494194598894
11,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.988,0.992,0.022,0.8893333333333333,-0.008615731827289556,0.008629574973584495,647.2181230188371,3.480806737738702,0.5597683255594273,7.060181486171259
100,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.988,0.99,0.02,0.886,-0.008837932518752622,0.008852094022862765,663.9070517147073,3.4879936633849487,0.5527364465323961,7.0950365548690035
101,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.988,0.99,0.02,0.888,-0.008789396389254873,0.008803964548358667,660.2973411268999,3.488466819054779,0.5688748014820428,7.063776259816453
1,-1,0.021544346900318846,badnet,"(3, 3)",badnet,0.992,0.992,0.154,0.9093333333333333,-0.08324779148760833,0.08329944589992394,6247.458442494296,5.36513937808698,0.639396540453784,11.208233108453841
10,-1,0.021544346900318846,badnet,"(3, 3)",badnet,0.992,0.994,0.096,0.9053333333333333,-0.08100847835824507,0.08106961208617032,6080.220906462774,5.344164295793854,0.6914207344009204,11.296393853309134
