seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,0.0001,badnet,"(3, 3)",badnet,0.98,0.982,0.02,0.8886666666666667,-2.8787383710544746e-08,2.895910652813232e-08,0.002171932989609924,2.4935193070631305,0.4978340692278564,4.95827318159089
10,-1,0.0001,badnet,"(3, 3)",badnet,0.98,0.982,0.02,0.8833333333333333,-2.9050533268241292e-08,2.914555404447979e-08,0.0021859165533359842,2.4896381276661277,0.5123980352676832,4.959595377865537
11,-1,0.0001,badnet,"(3, 3)",badnet,0.98,0.982,0.024,0.8846666666666667,-2.898764121232462e-08,2.909940037295779e-08,0.0021824550279718343,2.4902898348886375,0.5122953403936746,4.987064097393101
100,-1,0.0001,badnet,"(3, 3)",badnet,0.98,0.98,0.026,0.8833333333333333,-2.890222339042914e-08,2.909055880703423e-08,0.002181791910527567,2.4971245673161966,0.5170117860677443,5.015106845356559
101,-1,0.0001,badnet,"(3, 3)",badnet,0.98,0.98,0.02,0.884,-2.9392914143717853e-08,2.9541006539048e-08,0.0022155754904286,2.4927162274891885,0.5002224547751394,4.965527394273486
1,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.992,0.992,0.036,0.8933333333333333,-8.624606955198951e-07,8.642879789316573e-07,0.0648215984198743,3.1925265108690883,0.6458608762247594,6.6118599322079135
10,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.992,0.992,0.022,0.89,-8.621511937043727e-07,8.64670366155193e-07,0.06485027746163947,3.1889534541731757,0.6812198301996041,6.564103824230142
11,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.992,0.992,0.028,0.8926666666666667,-8.449218428540338e-07,8.475624962078115e-07,0.06356718721558587,3.1891591411124955,0.6736190638219361,6.614514775291281
100,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.992,0.992,0.024,0.89,-8.380007783317413e-07,8.402094293647359e-07,0.06301570720235519,3.2064042982301446,0.6838806776746275,6.738242712966451
101,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.992,0.99,0.018,0.892,-8.620464182666375e-07,8.637921881980406e-07,0.06478441411485304,3.1932162949926832,0.6722759514550276,6.549007414023847
1,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.996,0.994,0.286,0.924,-1.5113663555353252e-05,1.7063311965931128e-05,1.2797483974448347,3.447212433236215,0.8458588362869156,7.642413816307837
10,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.996,0.994,0.292,0.928,-1.4124090236030613e-05,1.6064906471551298e-05,1.2048679853663473,3.4482252820031865,0.8811586234274602,7.600224940512821
11,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.996,0.996,0.46,0.9446666666666667,-1.4346123378800648e-05,1.6375183663204055e-05,1.228138774740304,3.446607011712768,0.8678903901359767,7.707032296133749
100,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.996,0.994,0.138,0.9053333333333333,-1.4206379665939925e-05,1.6439312834441545e-05,1.232948462583116,3.472572541316391,0.8828987618259782,7.932132719308623
101,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.996,0.992,0.054,0.9033333333333333,-1.4032072071837505e-05,1.5823783930380396e-05,1.1867837947785296,3.45523490656504,0.8110692760216401,7.591547361213248
1,-1,0.021544346900318846,badnet,"(3, 3)",badnet,0.996,0.992,0.718,0.9793333333333333,-0.000253115782121921,0.0005409938776601874,40.57454082451405,3.5501861262729464,0.4763137829811466,8.347787628007698
10,-1,0.021544346900318846,badnet,"(3, 3)",badnet,0.996,0.994,0.968,0.992,-0.00024305176210341452,0.0005386222492343206,40.39666869257404,3.549271258697883,0.41550908909272966,8.350284577816488
11,-1,0.021544346900318846,badnet,"(3, 3)",badnet,0.996,0.996,0.982,0.996,-0.0003014275946852494,0.0005694171071845284,42.70628303883963,3.543241646859683,0.41367424633696864,8.368710162003136
100,-1,0.021544346900318846,badnet,"(3, 3)",badnet,0.996,0.994,0.806,0.98,-0.00027314276129993453,0.0005665853253861659,42.493899403962445,3.578584485699459,0.34527648579558534,8.985666672478233
101,-1,0.021544346900318846,badnet,"(3, 3)",badnet,0.996,0.992,0.784,0.982,-0.0002613614679952906,0.0005449044487414902,40.86783365561176,3.5609602697972993,0.34547303258296286,8.278688462531017
1,-1,0.1291549665014884,badnet,"(3, 3)",badnet,0.994,0.994,0.988,0.9953333333333333,-0.005459982789745874,0.027963991322999135,2097.299349224935,3.6197230476348556,0.5952168428870867,9.240482162790052
10,-1,0.1291549665014884,badnet,"(3, 3)",badnet,0.994,0.994,0.996,0.996,-0.0061087000950432666,0.027551989091589735,2066.3991818692302,3.6125598387545153,0.36712544349912885,9.430497283517521
11,-1,0.1291549665014884,badnet,"(3, 3)",badnet,0.994,0.994,0.996,0.9966666666666667,-0.009597570264792835,0.029314937481290406,2198.6203110967804,3.6110994322867356,0.3543826615174448,9.032549142502024
