seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,0.0005,0.1,badnet,"(3, 3)",badnet,0.96,0.954,0.054,0.8666666666666667,-0.00045488085258769143,0.009325308828389832,699.3981621292373,1.5550072429176547,0.5377050907550702,2.344224550515916
10,0.0005,0.1,badnet,"(3, 3)",badnet,0.96,0.952,0.054,0.864,-0.00028861102760091453,0.0092024759114512,690.1856933588401,1.551428188424687,0.5376711165312111,2.3246933420471416
11,0.0005,0.1,badnet,"(3, 3)",badnet,0.96,0.96,0.044,0.8726666666666667,9999,9999,9999,9999,9999,9999
100,0.0005,0.1,badnet,"(3, 3)",badnet,0.96,0.97,0.036,0.8686666666666667,-0.00016553637364068906,0.019020954147645434,1426.5715610734076,1.5538660440352008,0.571526641236924,2.3675854106523384
101,0.0005,0.1,badnet,"(3, 3)",badnet,0.96,0.96,0.04,0.8653333333333333,-0.0006246177938931794,0.009341448792966122,700.6086594724592,1.5562454756171342,0.5400698489344224,2.350104566011373
1,0.0005,0.21544346900318834,badnet,"(3, 3)",badnet,0.968,0.96,0.044,0.8726666666666667,-0.0034297278008371956,0.08930183034374042,6697.637275780532,1.7388486778039323,0.3894013862293859,2.7865754541746064
10,0.0005,0.21544346900318834,badnet,"(3, 3)",badnet,0.968,0.96,0.044,0.866,-0.004070356879781084,0.1750536198536697,13129.021489025228,1.7326097280526016,0.39635661499239416,2.7667578077494763
11,0.0005,0.21544346900318834,badnet,"(3, 3)",badnet,0.968,0.956,0.048,0.8753333333333333,-0.001989561542963347,0.08845477188980597,6634.107891735448,1.7386472723730815,0.424912509472131,2.7884723016424457
100,0.0005,0.21544346900318834,badnet,"(3, 3)",badnet,0.968,0.956,0.044,0.8753333333333333,-0.0036885549457859323,0.08985814754940596,6739.361066205447,1.7354468945053927,0.4444378645048709,2.8099801071786388
101,0.0005,0.21544346900318834,badnet,"(3, 3)",badnet,0.968,0.96,0.042,0.8666666666666667,-0.0034289421351519664,0.08697416146262335,6523.062109696752,1.738170457897928,0.40165345542574116,2.792879297813654
1,0.0005,0.46415888336127786,badnet,"(3, 3)",badnet,0.974,0.972,0.04,0.878,-0.01727565858511892,0.41564195036612017,31173.14627745901,1.9026098708578354,0.2620021825816974,3.228976291253951
10,0.0005,0.46415888336127786,badnet,"(3, 3)",badnet,0.974,0.97,0.044,0.8706666666666667,-0.010142369562821824,0.20325782616838262,15244.336962628697,1.9005115516206939,0.26810203025963486,3.2047118342301832
11,0.0005,0.46415888336127786,badnet,"(3, 3)",badnet,0.974,0.97,0.038,0.8806666666666667,-0.014344422157367859,0.3967559254223631,29756.69440667723,1.9100577486975094,0.3067207412285221,3.2332681048986776
100,0.0005,0.46415888336127786,badnet,"(3, 3)",badnet,0.974,0.97,0.036,0.874,-0.019878005160136613,0.400976958183274,30073.27186374555,1.9021822588065203,0.3322337072602106,3.2394400186457872
101,0.0005,0.46415888336127786,badnet,"(3, 3)",badnet,0.974,0.97,0.034,0.8713333333333333,-0.02605666223847294,0.4052588934055286,30394.417005414645,1.905763519353785,0.27405367367768374,3.2424205271132966
1,0.0005,1.0,badnet,"(3, 3)",badnet,0.974,0.97,0.038,0.882,-0.10167718382642857,7.593142167429424,569485.6625572068,2.0829600439637734,0.20299249585240808,3.735196496056666
10,0.0005,1.0,badnet,"(3, 3)",badnet,0.974,0.968,0.048,0.8753333333333333,-0.07258470121954216,3.7436549574165534,280774.1218062415,2.078066767014266,0.2155925483970902,3.699430924694541
11,0.0005,1.0,badnet,"(3, 3)",badnet,0.974,0.974,0.04,0.8826666666666667,-0.08401155751825103,9.540079271590242,715505.9453692682,2.089596746406913,0.274300171399231,3.704950429587459
100,0.0005,1.0,badnet,"(3, 3)",badnet,0.974,0.972,0.034,0.8793333333333333,-0.079328895055173,3.8075646193003143,285567.34644752357,2.0849534071654805,0.3303114255367927,3.7775620523394933
101,0.0005,1.0,badnet,"(3, 3)",badnet,0.974,0.976,0.026,0.876,-0.10376352925105382,1.8475181259327216,138563.8594449541,2.0866136970396845,0.2536027597701437,3.7661658362730543
1,0.0005,2.1544346900318834,badnet,"(3, 3)",badnet,0.974,0.972,0.046,0.8853333333333333,-0.4113474097361214,17.63773464491519,1322830.0983686394,2.274182211323413,0.15271386426247524,4.349271751129804
10,0.0005,2.1544346900318834,badnet,"(3, 3)",badnet,0.974,0.974,0.058,0.8846666666666667,-0.4495622553661352,52.95934185905204,3971950.639428903,2.2711200858620324,0.1288249073082388,4.3015132870360695
11,0.0005,2.1544346900318834,badnet,"(3, 3)",badnet,0.974,0.974,0.06,0.8853333333333333,-0.4397450273558844,9.129432003692507,684707.400276938,2.2902310644572554,0.2573045195015301,4.312048878163881
100,0.0005,2.1544346900318834,badnet,"(3, 3)",badnet,0.974,0.976,0.036,0.882,-0.6937484221114334,27.038121169265853,2027859.087694939,2.278302910557419,0.2559189431307992,4.386389210656265
101,0.0005,2.1544346900318834,badnet,"(3, 3)",badnet,0.974,0.978,0.034,0.88,-0.414231669676928,17.89667577390366,1342250.6830427744,2.275681922683292,0.19878986329265746,4.346814448021061
1,0.0005,4.6415888336127775,badnet,"(3, 3)",badnet,0.98,0.98,0.094,0.8933333333333333,-2.887281527604128,83.13988204124554,6235491.153093415,2.515394412351753,0.0,5.1272418078810045
10,0.0005,4.6415888336127775,badnet,"(3, 3)",badnet,0.98,0.974,0.108,0.8926666666666667,-1.5229304642281374,287.0478556493489,21528589.173701167,2.5233751176401897,0.0,5.043801361831596
11,0.0005,4.6415888336127775,badnet,"(3, 3)",badnet,0.98,0.978,0.112,0.8946666666666667,-2.2391457960024836,120.96586548568852,9072439.91142664,2.551208443316247,0.12052495649487827,4.997213174028135
100,0.0005,4.6415888336127775,badnet,"(3, 3)",badnet,0.98,0.982,0.04,0.888,-2.6195872134790377,125.16669775440633,9387502.331580475,2.5452933390873578,0.16296710569594597,5.146642869040411
101,0.0005,4.6415888336127775,badnet,"(3, 3)",badnet,0.98,0.98,0.032,0.886,-2.6632676662694457,163.2217699057187,12241632.742928904,2.5537930947745298,0.0744527425771273,5.19460887383247
1,0.0005,10.0,badnet,"(3, 3)",badnet,0.982,0.982,0.236,0.9053333333333333,-11.487753477467527,951.7429357056329,71380720.17792247,2.7491614965798963,0.0,5.63799078213175
10,0.0005,10.0,badnet,"(3, 3)",badnet,0.982,0.98,0.266,0.9146666666666666,-12.575795728137738,572.1198100193545,42908985.75145159,2.773911147085892,0.0,5.5806309883725955
11,0.0005,10.0,badnet,"(3, 3)",badnet,0.982,0.982,0.34,0.9153333333333333,-10.522324185448824,376.9301085164302,28269758.138732266,2.811337955648449,0.0,5.676448219060923
100,0.0005,10.0,badnet,"(3, 3)",badnet,0.982,0.986,0.086,0.8933333333333333,-14.556887211973773,182.62958008494485,13697218.506370863,2.7801534142406554,0.0,5.853162797545402
101,0.0005,10.0,badnet,"(3, 3)",badnet,0.982,0.978,0.062,0.892,-12.468284407715421,375.40809776998606,28155607.332748953,2.798229219180329,0.026710471597376384,5.7358112550442195
1,0.0005,21.54434690031882,badnet,"(3, 3)",badnet,0.982,0.984,0.42,0.9373333333333334,-55.455332964772666,897.4647734970716,67309858.01228037,3.0184086857225143,0.0,6.551942905651592
10,0.0005,21.54434690031882,badnet,"(3, 3)",badnet,0.982,0.982,0.658,0.958,-60.67205100628665,2605.703512651323,195427763.4488492,3.0154485586194744,0.0,6.444592979031793
11,0.0005,21.54434690031882,badnet,"(3, 3)",badnet,0.982,0.982,0.828,0.9793333333333333,-54.31352944411376,432.69549873668274,32452162.405251205,3.0746349055779763,0.0,6.616502087880659
100,0.0005,21.54434690031882,badnet,"(3, 3)",badnet,0.982,0.986,0.272,0.9173333333333333,-62.3362499190438,857.3907384082422,64304305.38061817,3.0140001638257,0.0,6.678768784559758
101,0.0005,21.54434690031882,badnet,"(3, 3)",badnet,0.982,0.98,0.21,0.9166666666666666,-59.95661161405129,6161.413558131697,462106016.8598773,3.031182321756405,0.0,6.580814934044517
1,0.0005,46.41588833612777,badnet,"(3, 3)",badnet,0.984,0.986,0.594,0.9666666666666667,-298.1628752934412,16367.507690130991,1227563076.7598243,3.171967985341255,0.0,7.185369013337853
10,0.0005,46.41588833612777,badnet,"(3, 3)",badnet,0.984,0.986,0.966,0.9906666666666667,-261.9149109943933,8101.940364723074,607645527.3542305,3.219414812416041,0.0,6.970627494463535
11,0.0005,46.41588833612777,badnet,"(3, 3)",badnet,0.984,0.986,0.96,0.9973333333333333,-232.36168438948374,20431.9442103365,1532395815.7752376,3.2827837814111045,0.0,7.560771424380726
100,0.0005,46.41588833612777,badnet,"(3, 3)",badnet,0.984,0.982,0.718,0.9793333333333333,-257.7365403190534,24579.110309715106,1843433273.228633,3.2192475277289176,0.0,7.40159163930249
